Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
10440.5,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10461.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10482.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10504.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10525.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10545.6,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10566.2,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10586.6,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10607.5,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10628.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10649.4,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10670.3,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10691.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10713,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10733.5,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10754,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10774.4,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10794.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10815.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10837,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10858,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10878.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10899.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10920.8,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10941.8,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10962.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10983.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11003.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11024.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11045.8,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11066.2,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11086.7,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11107.2,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11128.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11149,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11169.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
11190.3,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
14779.3,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
14939.1,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
14959.7,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
14980.3,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15000.9,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15021.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15042.1,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15062.9,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15083.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15104.1,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15124.7,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15145.2,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15165.8,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15186.3,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15206.8,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15227.2,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15247.9,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15268.6,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15289.9,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15310.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15331,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15351.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15372,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
